INDEX,Idx,D,H,M,S,PIR,TILT,GAS,DIST
0,63900,0,17,45,0,1,1,197,16.1
1,63901,0,17,45,1,1,1,476,26.03
2,63902,0,17,45,2,1,1,654,23.82
3,63903,0,17,45,3,1,0,840,25.14
4,63904,0,17,45,4,1,0,1023,9.44
5,63905,0,17,45,5,1,1,1023,6.42
6,63906,0,17,45,6,1,0,1023,4.3
7,63907,0,17,45,7,1,0,1023,20.8
8,63908,0,17,45,8,1,0,1023,14.63
9,63909,0,17,45,9,1,0,1023,15.96
10,63910,0,17,45,10,1,0,1023,16.79
11,63911,0,17,45,11,1,0,1023,19.24
12,63912,0,17,45,12,1,0,1023,29.37
13,63913,0,17,45,13,1,0,1023,18.64
14,63914,0,17,45,14,1,0,1023,11.16
15,63915,0,17,45,15,1,0,1023,7.21
16,63916,0,17,45,16,1,0,1023,7.5
17,63917,0,17,45,17,1,0,1023,7.24
18,63918,0,17,45,18,1,0,1023,7.5
19,63919,0,17,45,19,1,0,990,7.21
20,63920,0,17,45,20,1,0,851,7.16
21,63921,0,17,45,21,1,0,751,7.15
22,63922,0,17,45,22,1,0,670,7.15
23,63923,0,17,45,23,0,0,596,7.15
24,63924,0,17,45,24,0,0,533,7.15
25,63925,0,17,45,25,0,0,480,7.15
26,63926,0,17,45,26,0,0,436,7.15
27,63927,0,17,45,27,1,0,408,7.15
28,63928,0,17,45,28,1,0,366,7.15
29,63929,0,17,45,29,1,0,339,7.15
30,63930,0,17,45,30,0,0,315,7.15
31,63931,0,17,45,31,0,0,295,7.15
32,63932,0,17,45,32,0,0,277,7.15
33,63933,0,17,45,33,0,0,262,7.15
34,63934,0,17,45,34,0,0,248,7.15
35,63935,0,17,45,35,0,0,236,7.15
36,63936,0,17,45,36,0,0,226,7.15
37,63937,0,17,45,37,0,0,214,7.15
38,63938,0,17,45,38,0,0,208,7.15
39,63939,0,17,45,39,0,0,200,7.15
40,63940,0,17,45,40,0,0,193,7.15
41,63941,0,17,45,41,0,0,186,7.15
42,63942,0,17,45,42,0,0,181,7.15
43,63943,0,17,45,43,0,0,177,7.15
44,63944,0,17,45,44,0,0,171,7.15
45,63945,0,17,45,45,0,0,168,7.15
46,63946,0,17,45,46,0,0,164,7.15
47,63947,0,17,45,47,0,0,162,7.15
48,63948,0,17,45,48,0,0,158,7.15
49,63949,0,17,45,49,0,0,156,7.15
50,63950,0,17,45,50,0,0,154,7.15
51,63951,0,17,45,51,0,0,152,7.15
52,63952,0,17,45,52,0,0,151,7.15
53,63953,0,17,45,53,0,0,149,7.15
54,63954,0,17,45,54,0,0,147,7.15
55,63955,0,17,45,55,0,0,146,7.15
56,63956,0,17,45,56,0,0,145,7.15
57,63957,0,17,45,57,0,0,144,7.15
58,63958,0,17,45,58,0,0,143,7.15
59,63959,0,17,45,59,0,0,141,7.15
60,63960,0,17,46,0,0,0,141,7.15
61,63961,0,17,46,1,0,0,140,7.15
62,63962,0,17,46,2,0,0,140,7.15
63,63963,0,17,46,3,0,0,137,7.15
64,63964,0,17,46,4,0,0,138,7.15
65,63965,0,17,46,5,0,0,136,7.15
66,63966,0,17,46,6,0,0,137,7.15
67,63967,0,17,46,7,0,0,136,7.15
68,63968,0,17,46,8,0,0,136,7.15
69,63969,0,17,46,9,0,0,136,7.15
70,63970,0,17,46,10,0,0,135,7.15
71,63971,0,17,46,11,0,0,135,7.15
72,63972,0,17,46,12,0,0,134,7.15
73,63973,0,17,46,13,0,0,133,7.15
74,63974,0,17,46,14,0,0,134,7.15
75,63975,0,17,46,15,0,0,132,7.15
76,63976,0,17,46,16,0,0,134,7.15
77,63977,0,17,46,17,0,0,133,7.15
78,63978,0,17,46,18,0,0,133,7.15
79,63979,0,17,46,19,0,0,133,7.15
80,63980,0,17,46,20,0,0,132,7.15
81,63981,0,17,46,21,0,0,133,7.15
82,63982,0,17,46,22,0,0,132,7.15
83,63983,0,17,46,23,0,0,132,7.15
84,63984,0,17,46,24,0,0,132,7.15
85,63985,0,17,46,25,0,0,131,7.15
86,63986,0,17,46,26,0,0,131,7.15
87,63987,0,17,46,27,0,0,131,7.15
88,63988,0,17,46,28,0,0,131,7.15
89,63989,0,17,46,29,0,0,130,7.15
90,63990,0,17,46,30,0,0,130,7.15
91,63991,0,17,46,31,0,0,130,7.15
92,63992,0,17,46,32,0,0,130,7.15
93,63993,0,17,46,33,0,0,130,7.15
94,63994,0,17,46,34,0,0,130,7.15
95,63995,0,17,46,35,0,0,130,7.15
96,63996,0,17,46,36,0,0,129,7.15
97,63997,0,17,46,37,0,0,128,7.15
98,63998,0,17,46,38,0,0,128,7.15
99,63999,0,17,46,39,0,0,127,7.15
100,64000,0,17,46,40,0,0,128,7.15
101,64001,0,17,46,41,0,0,126,7.15
102,64002,0,17,46,42,0,0,128,7.15
103,64003,0,17,46,43,0,0,126,7.15
104,64004,0,17,46,44,0,0,127,7.15
105,64005,0,17,46,45,0,0,126,7.15
106,64006,0,17,46,46,0,0,125,7.15
107,64007,0,17,46,47,0,0,126,7.15
108,64008,0,17,46,48,0,0,126,7.15
109,64009,0,17,46,49,0,0,126,7.15
110,64010,0,17,46,50,0,0,125,7.15
111,64011,0,17,46,51,0,0,125,7.15
112,64012,0,17,46,52,0,0,125,7.15
113,64013,0,17,46,53,0,0,124,7.15
114,64014,0,17,46,54,0,0,124,7.15
115,64015,0,17,46,55,0,0,124,7.15
116,64016,0,17,46,56,0,0,123,7.15
117,64017,0,17,46,57,0,0,122,7.15
118,64018,0,17,46,58,0,0,122,7.15
119,64019,0,17,46,59,0,0,123,7.15
120,64020,0,17,47,0,0,0,123,7.15
121,64021,0,17,47,1,0,0,122,7.15
122,64022,0,17,47,2,0,0,122,7.15
123,64023,0,17,47,3,0,0,122,7.15
124,64024,0,17,47,4,0,0,121,7.13
125,64025,0,17,47,5,0,0,121,7.13
126,64026,0,17,47,6,0,0,121,7.15
127,64027,0,17,47,7,0,0,120,7.15
128,64028,0,17,47,8,0,0,121,7.15
129,64029,0,17,47,9,0,0,119,7.15
130,64030,0,17,47,10,0,0,121,7.13
131,64031,0,17,47,11,0,0,119,7.15
132,64032,0,17,47,12,0,0,119,7.15
133,64033,0,17,47,13,0,0,120,7.15
134,64034,0,17,47,14,0,0,119,7.15
135,64035,0,17,47,15,0,0,120,7.15
136,64036,0,17,47,16,0,0,119,7.15
137,64037,0,17,47,17,0,0,119,7.15
138,64038,0,17,47,18,0,0,120,7.15
139,64039,0,17,47,19,0,0,119,7.15
140,64040,0,17,47,20,0,0,120,7.15
141,64041,0,17,47,21,0,0,118,7.15
142,64042,0,17,47,22,0,0,118,7.15
143,64043,0,17,47,23,0,0,118,7.15
144,64044,0,17,47,24,0,0,117,7.15
145,64045,0,17,47,25,0,0,118,7.15
146,64046,0,17,47,26,0,0,117,7.15
147,64047,0,17,47,27,0,0,117,7.15
148,64048,0,17,47,28,0,0,116,7.15
149,64049,0,17,47,29,0,0,117,7.15
150,64050,0,17,47,30,0,0,116,7.15
151,64051,0,17,47,31,0,0,116,7.15
152,64052,0,17,47,32,0,0,116,7.15
153,64053,0,17,47,33,0,0,116,7.15
