hours,tav
0,23.5
0.25,24.12
0.5,24.75
0.75,25.31
1,26.06
1.25,26.94
1.5,27.81
1.75,28.81
2,29.81
2.25,30.94
2.5,32.19
2.75,33.5
3,34.88
3.25,36.31
3.5,37.75
3.75,39.19
4,40.5
4.25,41.81
4.5,42.94
4.75,43.88
5,44.69
5.25,45.31
5.5,45.81
5.75,46.12
6,46.38
6.25,46.5
6.5,46.56
6.75,46.5
7,46.38
7.25,46.25
7.5,46.06
7.75,45.88
8,45.69
8.25,45.5
8.5,45.38
8.75,45.25
9,45.06
9.25,45
9.5,44.94
9.75,44.94
10,44.81
10.25,44.88
10.5,44.94
10.75,44.94
11,45
11.25,45.12
11.5,45.19
11.75,45.31
12,45.44
12.25,45.56
12.5,45.69
12.75,45.88
13,46
13.25,46.12
13.5,46.31
13.75,46.5
14,46.62
14.25,46.75
14.5,46.94
14.75,47.06
15,47.25
15.25,47.38
15.5,47.5
15.75,47.62
16,47.75
16.25,47.88
16.5,48
16.75,48.06
17,48.12
17.25,48.19
17.5,48.25
17.75,48.31
18,48.38
18.25,48.38
18.5,48.44
18.75,48.44
19,48.5
19.25,48.44
19.5,48.44
19.75,48.38
20,48.31
20.25,48.25
20.5,48.19
20.75,48.12
21,48.06
21.25,48
21.5,48
21.75,47.88
22,47.81
22.25,47.75
22.5,47.69
22.75,47.56
23,47.44
23.25,47.38
23.5,47.25
23.75,47.12
24,47.06
24.25,46.94
24.5,46.88
24.75,46.75
25,46.69
25.25,46.56
25.5,46.44
25.75,46.38
26,46.25
26.25,46.12
26.5,46.06
26.75,46
27,45.88
27.25,45.81
27.5,45.75
27.75,45.62
28,45.56
28.25,45.5
28.5,45.44
28.75,45.38
29,45.25
29.25,45.25
29.5,45.12
29.75,45.06
30,45
30.25,44.94
30.5,44.94
30.75,44.88
31,44.81
31.25,44.75
31.5,44.75
31.75,44.69
32,44.62
32.25,44.62
32.5,44.5
32.75,44.5
33,44.5
33.25,44.44
33.5,44.44
33.75,44.38
34,44.38
34.25,44.31
34.5,44.31
34.75,44.31
35,44.25
35.25,44.19
35.5,44.19
35.75,44.19
36,44.19
36.25,44.12
36.5,44.12
36.75,44.12
37,44.19
37.25,44.12
37.5,44.19
37.75,44.12
38,44.19
38.25,44.12
38.5,44.12
38.75,44.12
39,44.12
39.25,44.19
39.5,44.12
39.75,44.12
40,44.19
40.25,44.12
40.5,44.19
40.75,44.12
41,44.19
41.25,44.25
41.5,44.19
41.75,44.25
42,44.25
42.25,44.25
42.5,44.31
42.75,44.31
43,44.31
43.25,44.31
43.5,44.31
43.75,44.38
44,44.38
44.25,44.38
44.5,44.38
44.75,44.38
45,44.38
45.25,44.38
45.5,44.44
45.75,44.44
46,44.44
46.25,44.5
46.5,44.44
46.75,44.5
47,44.44
47.25,44.44
47.5,44.44
47.75,44.5
48,44.44
48.25,44.44
48.5,44.38
48.75,44.44
49,44.44
49.25,44.38
49.5,44.38
49.75,44.31
50,44.38
50.25,44.31
50.5,44.31
50.75,44.25
51,44.25
51.25,44.19
51.5,44.19
51.75,44.19
52,44.12
52.25,44.06
52.5,44
52.75,44
53,43.94
53.25,43.94
53.5,43.88
53.75,43.88
54,43.88
54.25,43.81
54.5,43.69
54.75,43.62
55,43.62
55.25,43.56
55.5,43.56
55.75,43.44
56,43.44
56.25,43.38
56.5,43.38
56.75,43.31
57,43.25
57.25,43.25
57.5,43.19
57.75,43.12
58,43.06
58.25,43
58.5,42.94
58.75,42.88
59,42.88
59.25,42.81
59.5,42.81
59.75,42.69
60,42.62
60.25,42.69
60.5,42.56
60.75,42.5
61,42.44
61.25,42.5
61.5,42.38
61.75,42.31
62,42.31
62.25,42.31
62.5,42.31
62.75,42.25
63,42.19
63.25,42.12
63.5,42.12
63.75,42.12
64,42.12
64.25,42.06
64.5,42.06
64.75,42.06
65,42
65.25,42
65.5,42
65.75,41.94
66,41.88
66.25,41.94
66.5,41.88
66.75,41.88
67,41.88
67.25,41.81
67.5,41.81
67.75,41.75
68,41.81
68.25,41.75
68.5,41.75
68.75,41.75
69,41.75
69.25,41.69
69.5,41.69
69.75,41.69
70,41.69
70.25,41.62
70.5,41.62
70.75,41.62
71,41.69
71.25,41.56
71.5,41.56
71.75,41.56
72,41.56
72.25,41.5
72.5,41.5
72.75,41.5
73,41.5
73.25,41.44
73.5,41.44
73.75,41.38
74,41.38
74.25,41.31
74.5,41.31
74.75,41.31
75,41.25
75.25,41.25
75.5,41.25
75.75,41.25
76,41.25
76.25,41.19
76.5,41.19
76.75,41.12
77,41.06
77.25,41.06
77.5,41
77.75,40.94
78,40.94
78.25,40.94
78.5,40.88
78.75,40.88
79,40.81
79.25,40.81
79.5,40.81
79.75,40.75
80,40.69
80.25,40.69
80.5,40.62
80.75,40.56
81,40.56
81.25,40.5
81.5,40.5
81.75,40.44
82,40.44
82.25,40.31
82.5,40.31
82.75,40.31
83,40.25
83.25,40.19
83.5,40.12
83.75,40.12
84,40.06
84.25,40.06
84.5,40
84.75,40
85,40
85.25,39.94
85.5,39.94
85.75,39.88
86,39.88
86.25,39.81
86.5,39.81
86.75,39.81
87,39.81
87.25,39.81
87.5,39.81
87.75,39.75
88,39.75
88.25,39.81
88.5,39.75
88.75,39.81
89,39.75
89.25,39.81
89.5,39.81
89.75,39.81
90,39.75
90.25,39.75
90.5,39.75
90.75,39.81
91,39.75
91.25,39.81
91.5,39.75
91.75,39.75
92,39.81
92.25,39.75
92.5,39.69
92.75,39.75
93,39.69
93.25,39.69
93.5,39.69
93.75,39.62
94,39.69
94.25,39.69
94.5,39.62
94.75,39.62
95,39.69
95.25,39.62
95.5,39.62
95.75,39.56
96,39.56
96.25,39.62
96.5,39.62
96.75,39.56
97,39.56
97.25,39.62
97.5,39.56
97.75,39.56
98,39.62
98.25,39.56
98.5,39.56
98.75,39.5
99,39.5
99.25,39.5
99.5,39.5
99.75,39.44
100,39.5
100.25,39.44
100.5,39.38
100.75,39.38
101,39.38
101.25,39.38
101.5,39.31
101.75,39.31
102,39.25
102.25,39.25
102.5,39.19
102.75,39.12
103,39.12
103.25,39.19
103.5,39.06
103.75,39.06
104,39
104.25,39
104.5,38.94
104.75,38.94
105,38.94
105.25,38.88
105.5,38.81
105.75,38.81
106,38.75
106.25,38.75
106.5,38.75
106.75,38.69
107,38.69
107.25,38.62
107.5,38.56
107.75,38.56
108,38.56
108.25,38.5
108.5,38.44
108.75,38.44
109,38.38
109.25,38.38
109.5,38.38
109.75,38.31
110,38.31
110.25,38.25
110.5,38.25
110.75,38.25
111,38.19
111.25,38.25
111.5,38.19
111.75,38.12
112,38.12
112.25,38.06
112.5,38.06
112.75,38
113,37.94
113.25,37.94
113.5,37.94
113.75,37.88
114,37.88
114.25,37.88
114.5,37.81
114.75,37.75
115,37.75
115.25,37.69
115.5,37.62
115.75,37.62
116,37.62
116.25,37.56
116.5,37.5
116.75,37.5
117,37.5
117.25,37.44
117.5,37.38
117.75,37.38
118,37.31
118.25,37.31
118.5,37.25
118.75,37.25
119,37.19
119.25,37.12
119.5,37.12
119.75,37.12
120,37.06
