hours,tav,bot,mid
0,25.65,25,26.25
0.25,25.94,25.31,26.56
0.5,26.26,25.56,26.94
0.75,26.6,25.81,27.38
1,26.95,26.06,27.75
1.25,27.28,26.31,28.19
1.5,27.65,26.69,28.62
1.75,28.01,26.81,29.12
2,28.44,27.19,29.62
2.25,28.93,27.5,30.31
2.5,29.42,27.75,31
2.75,29.98,28.19,31.75
3,30.54,28.5,32.5
3.25,31.15,28.88,33.38
3.5,32.41,29.62,35.19
3.75,33.02,29.94,36.06
4,33.59,30.25,36.94
4.25,34.15,30.62,37.75
4.5,34.67,30.94,38.5
4.75,35.18,31.25,39.19
5,35.66,31.62,39.88
5.25,36.18,31.88,40.62
5.5,36.7,32.25,41.38
5.75,37.21,32.5,42.12
6,37.74,32.88,42.88
6.25,38.32,33.25,43.75
6.5,38.9,33.56,44.62
6.75,39.48,33.88,45.44
7,40.12,34.31,46.38
7.25,40.71,34.62,47.12
7.5,41.29,35.06,47.81
7.75,41.81,35.44,48.44
8,42.32,35.94,48.88
8.25,42.81,36.38,49.31
8.5,43.29,36.88,49.69
8.75,43.71,37.38,49.94
9,44.15,37.94,50.19
9.25,44.57,38.5,50.38
9.5,44.97,39.12,50.56
9.75,45.38,39.75,50.75
10,45.77,40.44,50.88
10.25,46.17,41.12,50.94
10.5,46.52,41.75,51.06
10.75,46.87,42.38,51.12
11,47.2,42.94,51.31
11.25,47.53,43.5,51.44
11.5,47.84,44.06,51.5
11.75,48.09,44.5,51.62
12,48.38,45.06,51.69
12.25,48.68,45.5,51.88
12.5,48.92,45.88,52
12.75,49.17,46.19,52.19
13,49.43,46.62,52.31
13.25,49.68,46.94,52.56
13.5,49.93,47.19,52.75
13.75,50.18,47.5,53
14,50.43,47.69,53.25
14.25,50.68,48,53.5
14.5,50.91,48.19,53.81
14.75,51.13,48.44,54.06
15,51.35,48.56,54.31
15.25,51.62,48.81,54.62
15.5,51.87,49,54.94
15.75,52.09,49.12,55.19
16,52.34,49.31,55.56
16.25,52.54,49.44,55.81
16.5,52.81,49.69,56.12
16.75,53.02,49.81,56.44
17,53.29,50,56.75
17.25,53.51,50.19,57
17.5,53.71,50.31,57.25
17.75,53.91,50.5,57.5
18,54.15,50.62,57.81
18.25,54.37,50.75,58.06
18.5,54.56,50.88,58.31
18.75,54.73,51,58.44
19,54.95,51.12,58.75
19.25,55.12,51.31,58.88
19.5,55.29,51.44,59.06
19.75,55.49,51.62,59.31
20,55.66,51.75,59.5
20.25,55.82,51.94,59.62
20.5,55.99,52.06,59.81
20.75,56.15,52.19,60
