hours,t1,t2,t3,t4,t5,t6,tav,bot,mid,top
0,25.32,25,26.25,26,25.81,25.51,25.65,25,26.25,25.66
0.25,25.57,25.31,26.56,26.31,26.12,25.76,25.94,25.31,26.56,25.94
0.5,25.82,25.56,26.94,26.69,26.31,26.01,26.26,25.56,26.94,26.16
0.75,26.14,25.81,27.38,27.06,26.56,26.32,26.6,25.81,27.38,26.44
1,26.45,26.06,27.75,27.5,27,26.7,26.95,26.06,27.75,26.85
1.25,26.64,26.31,28.19,27.94,27.25,26.95,27.28,26.31,28.19,27.1
1.5,26.89,26.69,28.62,28.38,27.69,27.39,27.65,26.69,28.62,27.54
1.75,27.2,26.81,29.12,28.88,28.12,27.76,28.01,26.81,29.12,27.94
2,27.51,27.19,29.62,29.44,28.62,28.14,28.44,27.19,29.62,28.38
2.25,27.82,27.5,30.31,30.06,29.19,28.64,28.93,27.5,30.31,28.92
2.5,28.14,27.75,31,30.75,29.75,29.14,29.42,27.75,31,29.45
2.75,28.51,28.19,31.75,31.44,30.44,29.76,29.98,28.19,31.75,30.1
3,28.89,28.5,32.5,32.25,31.19,30.45,30.54,28.5,32.5,30.82
3.25,29.26,28.88,33.38,33.06,32.06,31.14,31.15,28.88,33.38,31.6
3.5,30.07,29.62,35.19,34.75,34.06,32.89,32.41,29.62,35.19,33.48
3.75,30.45,29.94,36.06,35.62,35.19,33.89,33.02,29.94,36.06,34.54
4,30.82,30.25,36.94,36.31,36.38,35.01,33.59,30.25,36.94,35.7
4.25,31.14,30.62,37.75,37.06,37.62,36.14,34.15,30.62,37.75,36.88
4.5,31.51,30.94,38.5,37.69,38.94,37.45,34.67,30.94,38.5,38.2
4.75,31.89,31.25,39.19,38.38,40.38,38.7,35.18,31.25,39.19,39.54
5,32.14,31.62,39.88,39,41.75,40.08,35.66,31.62,39.88,40.92
5.25,32.58,31.88,40.62,39.62,43.12,41.51,36.18,31.88,40.62,42.32
5.5,32.89,32.25,41.38,40.25,44.38,42.76,36.7,32.25,41.38,43.57
5.75,33.26,32.5,42.12,40.94,45.5,44.01,37.21,32.5,42.12,44.76
6,33.58,32.88,42.88,41.62,46.56,45.08,37.74,32.88,42.88,45.82
6.25,33.95,33.25,43.75,42.31,47.44,46.01,38.32,33.25,43.75,46.73
6.5,34.33,33.56,44.62,43.06,48,46.76,38.9,33.56,44.62,47.38
6.75,34.7,33.88,45.44,43.88,48.44,47.33,39.48,33.88,45.44,47.89
7,35.08,34.31,46.38,44.69,48.81,47.76,40.12,34.31,46.38,48.29
7.25,35.58,34.62,47.12,45.5,49.06,48.14,40.71,34.62,47.12,48.6
7.5,36.01,35.06,47.81,46.25,49.31,48.33,41.29,35.06,47.81,48.82
7.75,36.45,35.44,48.44,46.88,49.38,48.58,41.81,35.44,48.44,48.98
8,36.95,35.94,48.88,47.5,49.56,48.7,42.32,35.94,48.88,49.13
8.25,37.51,36.38,49.31,48,49.69,48.83,42.81,36.38,49.31,49.26
8.5,38.08,36.88,49.69,48.5,49.81,48.95,43.29,36.88,49.69,49.38
8.75,38.7,37.38,49.94,48.81,49.94,49.08,43.71,37.38,49.94,49.51
