hours,cn25,cn30,cn35
0,25.975,24.435,23.505
0.25,26.41,24.815,23.815
0.5,26.85,25.155,24.13
0.75,27.32,25.465,24.475
1,27.755,25.905,24.815
1.25,28.29,26.31,25.225
1.5,28.82,26.75,25.63
1.75,29.32,27.25,26.095
2,29.945,27.75,26.535
2.25,30.475,28.25,27.035
2.5,31.065,28.81,27.535
2.75,31.725,29.435,28.065
3,32.285,30.035,28.665
3.25,32.88,30.685,29.29
3.5,33.51,31.375,29.91
3.75,34.07,32.095,30.6
4,34.665,32.815,31.29
4.25,35.225,33.53,31.975
4.5,35.755,34.28,32.695
4.75,36.29,34.97,33.35
5,36.85,35.72,34.04
5.25,37.38,36.405,34.66
5.5,37.91,37.06,35.29
5.75,38.44,37.69,35.91
6,38.88,38.28,36.505
6.25,39.445,38.81,37.07
6.5,40.005,39.375,37.665
6.75,40.6,39.875,38.225
7,41.16,40.34,38.725
7.25,41.63,40.78,39.195
7.5,42.04,41.25,39.695
7.75,42.445,41.595,40.23
8,42.755,41.97,40.665
8.25,43.065,42.315,41.005
8.5,43.32,42.595,41.385
8.75,43.535,42.84,41.665
9,43.79,43.06,41.915
9.25,43.975,43.25,42.16
9.5,44.195,43.375,42.415
9.75,44.41,43.5,42.54
10,44.57,43.685,42.76
10.25,44.73,43.785,42.915
10.5,44.945,43.94,43.04
10.75,45.1,44.06,43.195
11,45.26,44.22,43.29
11.25,45.44,44.345,43.415
11.5,45.6,44.47,43.54
11.75,45.725,44.62,43.66
12,45.88,44.75,43.69
12.25,46.035,44.94,43.82
12.5,46.165,45.095,43.91
12.75,46.255,45.215,44.04
13,46.415,45.375,44.13
13.25,46.57,45.535,44.195
13.5,46.66,45.625,44.35
13.75,46.82,45.78,44.445
14,46.915,45.905,44.57
14.25,47.04,46.06,44.665
14.5,47.16,46.19,44.725
14.75,47.285,46.28,44.885
15,47.355,46.435,44.975
15.25,47.445,46.5,45.105
15.5,47.565,46.595,45.225
15.75,47.695,46.75,45.32
16,47.76,46.815,45.44
16.25,47.91,46.88,45.51
16.5,47.94,46.97,45.66
16.75,48.04,47.09,45.73
17,48.13,47.185,45.82
17.25,48.195,47.25,45.88
17.5,48.29,47.315,45.975
17.75,48.38,47.375,46.035
18,48.41,47.435,46.1
18.25,48.51,47.5,46.165
18.5,48.51,47.53,46.195
18.75,48.57,47.595,46.255
19,48.57,47.66,46.32
19.25,48.6,47.66,46.415
19.5,48.6,47.69,46.415
19.75,48.63,47.69,46.415
20,48.6,47.72,46.475
20.25,48.57,47.69,46.475
20.5,48.51,47.69,46.505
20.75,48.44,47.72,46.505
21,48.41,47.63,46.505
21.25,48.29,47.66,46.505
21.5,48.23,47.56,46.475
21.75,48.16,47.47,46.475
22,48.04,47.405,46.415
22.25,47.975,47.34,46.385
22.5,47.85,47.28,46.385
22.75,47.76,47.19,46.32
23,47.6,47.125,46.29
23.25,47.505,47,46.255
23.5,47.38,46.845,46.165
23.75,47.285,46.81,46.135
24,47.1,46.69,46.005
24.25,47.035,46.625,45.975
24.5,46.885,46.5,45.915
24.75,46.755,46.375,45.85
25,46.665,46.28,45.76
25.25,46.475,46.125,45.695
25.5,46.38,46.065,45.63
25.75,46.285,45.905,45.6
26,46.195,45.78,45.475
26.25,46.1,45.72,45.445
26.5,45.98,45.595,45.35
26.75,45.91,45.5,45.29
27,45.79,45.37,45.225
27.25,45.725,45.28,45.165
27.5,45.63,45.19,45.1
27.75,45.57,45.095,45.035
28,45.505,45.03,44.975
28.25,45.445,44.935,44.885
28.5,45.415,44.845,44.885
28.75,45.285,44.75,44.82
29,45.32,44.685,44.785
29.25,45.255,44.655,44.725
29.5,45.225,44.595,44.665
29.75,45.135,44.47,44.695
