hours,mc70,mc60,mc50
0.00,21.48,24.47,25.04
0.25,21.63,24.85,25.44
0.50,21.82,25.32,25.85
0.75,21.98,25.78,26.35
1.00,22.20,26.32,26.94
1.25,22.41,26.91,27.44
1.50,22.60,27.53,28.07
1.75,22.88,28.19,28.67
2.00,23.13,28.94,29.38
2.25,23.44,29.69,30.04
2.50,23.79,30.50,30.76
2.75,24.07,31.31,31.51
3.00,24.48,32.03,32.22
3.25,24.85,32.85,32.92
3.50,25.26,33.56,33.64
3.75,25.67,34.28,34.29
4.00,26.14,34.91,34.94
4.25,26.60,35.63,35.54
4.50,27.10,36.32,36.14
4.75,27.63,37.04,36.70
5.00,28.23,37.75,37.26
5.25,28.79,38.44,37.82
5.50,29.32,39.13,38.38
5.75,29.91,39.81,38.88
6.00,30.48,40.50,39.48
6.25,31.13,41.47,39.91
6.50,31.69,42.47,40.41
6.75,32.32,43.35,40.85
7.00,33.07,44.10,41.29
7.25,33.63,44.75,41.73
7.50,34.32,45.32,42.13
7.75,34.82,45.81,42.57
8.00,35.32,46.19,43.11
8.25,35.79,46.50,43.76
8.50,36.19,46.72,44.26
8.75,36.57,46.91,44.60
9.00,36.98,47.03,44.95
9.25,37.29,47.10,45.20
9.50,37.63,47.13,45.32
9.75,37.92,47.07,45.48
10.00,38.17,47.00,45.60
10.25,38.48,46.91,45.60
10.50,38.67,46.72,45.64
10.75,38.92,46.56,45.60
11.00,39.17,46.37,45.57
11.25,39.39,46.19,45.48
11.50,39.57,45.97,45.39
11.75,39.82,45.81,45.32
12.00,40.01,45.56,45.13
12.25,40.20,45.37,45.04
12.50,40.35,45.25,44.95
12.75,40.54,45.10,44.82
13.00,40.76,44.88,44.66
13.25,40.88,44.78,44.57
13.50,41.07,44.72,44.48
13.75,41.17,44.63,44.38
14.00,41.38,44.56,44.29
14.25,41.48,44.53,44.20
14.50,41.63,44.53,44.11
14.75,41.76,44.53,44.07
15.00,41.82,44.57,43.98
15.25,41.94,44.63,43.88
15.50,42.04,44.69,43.85
15.75,42.13,44.81,43.79
16.00,42.23,44.87,43.79
16.25,42.29,45.00,43.73
16.50,42.35,45.13,43.73
16.75,42.41,45.29,43.73
17.00,42.44,45.41,43.70
17.25,42.51,45.56,43.67
17.50,42.54,45.75,43.70
17.75,42.51,45.94,43.70
18.00,42.57,46.16,43.70
18.25,42.60,46.35,43.70
18.50,42.63,46.60,43.73
18.75,42.64,46.81,43.70
19.00,42.63,47.07,43.73
19.25,42.67,47.34,43.76
19.50,42.63,47.60,43.79
19.75,42.67,47.87,43.79
20.00,42.64,48.19,43.82
20.25,42.70,48.50,43.82
20.50,42.64,48.75,43.85
20.75,42.70,49.03,43.85
21.00,42.64,49.37,43.92
21.25,42.64,49.66,43.91
21.50,42.64,49.97,43.98
21.75,42.64,50.25,43.98
22.00,42.64,50.60,44.01
22.25,42.64,50.91,44.04
22.50,42.61,51.19,44.04
22.75,42.67,51.47,44.07
23.00,42.61,51.78,44.16
23.25,42.64,52.00,44.13
23.50,42.61,52.34,44.17
23.75,42.57,52.56,44.20
24.00,42.64,52.81,44.23
24.25,42.57,53.10,44.23
24.50,42.57,53.34,44.23
24.75,42.57,53.60,44.29
25.00,42.60,53.81,44.32
25.25,42.60,54.10,44.35
25.50,42.57,54.28,44.38
25.75,42.57,54.50,44.38
26.00,42.60,54.72,44.38
26.25,42.60,54.94,44.45
26.50,42.60,55.13,44.45
26.75,42.57,55.28,44.48
27.00,42.57,55.44,44.48
27.25,42.60,55.60,44.54
27.50,42.60,55.78,44.57
27.75,42.60,55.91,44.57
28.00,42.60,56.00,44.57
28.25,42.63,56.13,44.57
28.50,42.63,56.28,44.60
28.75,42.60,56.41,44.60
29.00,42.60,56.47,44.63
29.25,42.63,56.57,44.63
29.50,42.69,56.63,44.63
29.75,42.66,56.72,44.63
30.00,42.69,56.72,44.63
30.25,42.69,56.79,44.60
30.50,42.69,56.82,44.66
30.75,42.69,56.78,44.60
31.00,42.69,56.82,44.63
31.25,42.69,56.85,44.66
31.50,42.69,56.82,44.63
31.75,42.73,56.78,44.60
32.00,42.73,56.75,44.57
32.25,42.76,56.66,44.57
32.50,42.73,56.63,44.57
32.75,42.76,56.60,44.57
33.00,42.73,56.50,44.51
33.25,42.76,56.41,44.51
33.50,42.79,56.35,44.51
33.75,42.79,56.22,44.44
34.00,42.76,56.16,44.41
34.25,42.79,56.03,44.38
34.50,42.76,55.91,44.35
34.75,42.73,55.78,44.35
35.00,42.76,55.69,44.29
35.25,42.73,55.50,44.29
35.50,42.76,55.35,44.23
35.75,42.73,55.22,44.20
36.00,42.73,55.06,44.17
36.25,42.73,54.88,44.10
36.50,42.73,54.72,44.04
36.75,42.73,54.56,44.04
37.00,42.69,54.41,43.98
37.25,42.73,54.16,43.94
37.50,42.69,53.94,43.82
37.75,42.66,53.81,43.85
38.00,42.63,53.56,43.79
38.25,42.60,53.35,43.70
38.50,42.57,53.16,43.70
38.75,42.57,52.94,43.63
39.00,42.54,52.72,43.57
39.25,42.54,52.50,43.57
39.50,42.48,52.32,43.48
39.75,42.48,52.06,43.41
40.00,42.45,51.85,43.41
40.25,42.42,51.66,43.35
40.50,42.38,51.38,43.29
40.75,42.35,51.13,43.23
41.00,42.29,50.91,43.20
41.25,42.29,50.63,43.13
41.50,42.26,50.44,43.07
41.75,42.16,50.16,43.04
42.00,42.13,49.97,42.98
42.25,42.10,49.69,42.91
42.50,42.10,49.47,42.85
42.75,42.01,49.25,42.85
43.00,41.98,48.97,42.76
43.25,41.95,48.79,42.73
43.50,41.92,48.50,42.70
43.75,41.85,48.29,42.63
44.00,41.79,48.00,42.57
44.25,41.76,47.78,42.57
44.50,41.69,47.54,42.51
44.75,41.69,47.28,42.48
45.00,41.63,47.03,42.44
45.25,41.60,46.78,42.41
45.50,41.54,46.57,42.35
45.75,41.45,46.31,42.32
46.00,41.42,46.07,42.26
46.25,41.38,45.81,42.23
46.50,41.29,45.57,42.20
46.75,41.29,45.31,42.20
47.00,41.26,45.10,42.16
47.25,41.20,44.84,42.10
47.50,41.17,44.63,42.07
47.75,41.07,44.34,42.01
48.00,41.04,44.10,41.98
48.25,40.98,43.87,41.95
48.50,40.88,43.63,41.94
48.75,40.82,43.37,41.91
49.00,40.82,43.16,41.85
49.25,40.70,42.94,41.82
49.50,40.67,42.69,41.82
49.75,40.57,42.47,41.82
50.00,40.57,42.25,41.76
50.25,40.51,42.03,41.73
50.50,40.41,41.84,41.70
50.75,40.38,41.60,41.73
51.00,40.29,41.38,41.63
51.25,40.23,41.16,41.60
51.50,40.20,40.94,41.57
51.75,40.10,40.75,41.60
52.00,40.07,40.57,41.57
52.25,40.01,40.28,41.54
52.50,39.92,40.13,41.51
52.75,39.85,39.91,41.51
53.00,39.82,39.72,41.51
53.25,39.73,39.54,41.48
53.50,39.67,39.28,41.48
53.75,39.67,39.13,41.39
54.00,39.51,38.91,41.42
54.25,39.48,38.72,41.35
54.50,39.42,38.53,41.35
54.75,39.35,38.32,41.35
55.00,39.23,38.16,41.29
55.25,39.20,37.94,41.26
55.50,39.14,37.75,41.26
55.75,39.04,37.60,41.26
56.00,38.95,37.44,41.23
56.25,38.89,37.22,41.23
56.50,38.82,37.03,41.20
56.75,38.73,36.82,41.20
57.00,38.64,36.69,41.17
57.25,38.57,36.50,41.14
57.50,38.45,36.32,41.14
57.75,38.42,36.19,41.10
58.00,38.32,36.00,41.10
58.25,38.29,35.85,41.14
58.50,38.20,35.69,41.07
58.75,38.11,35.50,41.07
59.00,38.01,35.35,41.07
59.25,37.98,35.19,41.04
59.50,37.89,35.03,41.04
59.75,37.85,34.88,41.04
60.00,37.73,34.72,41.07
60.25,37.67,34.59,41.04
60.50,37.57,34.47,41.04
60.75,37.51,34.31,41.04
61.00,37.41,34.16,41.04
61.25,37.38,34.00,41.01
61.50,37.32,33.88,41.04
