hours,mc70,mc60,mc50
0,21.48,24.47,25.04
0.25,21.63,24.85,25.44
0.5,21.82,25.32,25.85
0.75,21.98,25.78,26.35
1,22.20,26.32,26.94
1.25,22.41,26.91,27.44
1.5,22.60,27.53,28.07
1.75,22.88,28.19,28.67
2,23.13,28.94,29.38
2.25,23.44,29.69,30.04
2.5,23.79,30.50,30.76
2.75,24.07,31.31,31.51
3,24.48,32.03,32.22
3.25,24.85,32.85,32.92
3.5,25.26,33.56,33.64
3.75,25.67,34.28,34.29
4,26.14,34.91,34.94
4.25,26.60,35.63,35.54
4.5,27.10,36.32,36.14
4.75,27.63,37.04,36.70
5,28.23,37.75,37.26
5.25,28.79,38.44,37.82
5.5,29.32,39.13,38.38
5.75,29.91,39.81,38.88
6,30.48,40.50,39.48
6.25,31.13,41.47,39.91
6.5,31.69,42.47,40.41
6.75,32.32,43.35,40.85
7,33.07,44.10,41.29
7.25,33.63,44.75,41.73
7.5,34.32,45.32,42.13
7.75,34.82,45.81,42.57
8,35.32,46.19,43.11
8.25,35.79,46.50,43.76
8.5,36.19,46.72,44.26
8.75,36.57,46.91,44.60
9,36.98,47.03,44.95
9.25,37.29,47.10,45.20
9.5,37.63,47.13,45.32
9.75,37.92,47.07,45.48
10,38.17,47.00,45.60
10.25,38.48,46.91,45.60
10.5,38.67,46.72,45.64
10.75,38.92,46.56,45.60
11,39.17,46.37,45.57
11.25,39.39,46.19,45.48
11.5,39.57,45.97,45.39
11.75,39.82,45.81,45.32
12,40.01,45.56,45.13
12.25,40.20,45.37,45.04
12.5,40.35,45.25,44.95
12.75,40.54,45.10,44.82
13,40.76,44.88,44.66
13.25,40.88,44.78,44.57
13.5,41.07,44.72,44.48
13.75,41.17,44.63,44.38
14,41.38,44.56,44.29
14.25,41.48,44.53,44.20
14.5,41.63,44.53,44.11
14.75,41.76,44.53,44.07
15,41.82,44.57,43.98
15.25,41.94,44.63,43.88
15.5,42.04,44.69,43.85
15.75,42.13,44.81,43.79
16,42.23,44.87,43.79
16.25,42.29,45.00,43.73
16.5,42.35,45.13,43.73
16.75,42.41,45.29,43.73
17,42.44,45.41,43.70
17.25,42.51,45.56,43.67
17.5,42.54,45.75,43.70
17.75,42.51,45.94,43.70
18,42.57,46.16,43.70
18.25,42.60,46.35,43.70
18.5,42.63,46.60,43.73
18.75,42.64,46.81,43.70
19,42.63,47.07,43.73
19.25,42.67,47.34,43.76
19.5,42.63,47.60,43.79
19.75,42.67,47.87,43.79
20,42.64,48.19,43.82
20.25,42.70,48.50,43.82
20.5,42.64,48.75,43.85
20.75,42.70,49.03,43.85
21,42.64,49.37,43.92
21.25,42.64,49.66,43.91
21.5,42.64,49.97,43.98
21.75,42.64,50.25,43.98
22,42.64,50.60,44.01
22.25,42.64,50.91,44.04
22.5,42.61,51.19,44.04
22.75,42.67,51.47,44.07
23,42.61,51.78,44.16
23.25,42.64,52.00,44.13
23.5,42.61,52.34,44.17
23.75,42.57,52.56,44.20
24,42.64,52.81,44.23
