hours,bot,mid,top
0,24.03,24.39,23.81
0.25,24.5,24.98,24.37
0.5,25.03,25.64,24.97
0.75,25.56,26.36,25.6
1,26.1,27.11,26.34
1.25,26.57,27.89,27.16
1.5,26.97,28.73,28.06
1.75,27.38,29.54,29.06
2,27.69,30.45,30.06
2.25,28.04,31.36,31.19
2.5,28.28,32.26,32.44
2.75,28.53,33.14,33.75
3,28.78,34.01,35.13
3.25,29.04,34.89,36.53
3.5,29.25,35.79,37.91
3.75,29.56,36.73,39.25
4,29.88,37.61,40.53
4.25,30.19,38.45,41.75
4.5,30.53,39.26,42.82
4.75,30.85,40.11,43.75
5,31.19,40.92,44.54
5.25,31.63,41.7,45.16
5.5,32.06,42.42,45.69
5.75,32.53,43.11,46.03
6,32.97,43.67,46.25
6.25,33.44,44.27,46.38
6.5,33.94,44.73,46.44
6.75,34.41,45.14,46.35
7,34.94,45.51,46.25
7.25,35.44,45.76,46.1
7.5,35.91,45.98,45.91
7.75,36.44,46.11,45.69
8,36.97,46.17,45.5
8.25,37.5,46.17,45.28
8.5,38,46.17,45.13
8.75,38.5,46.2,45
9,38.94,46.17,44.81
9.25,39.47,46.17,44.72
9.5,39.88,46.2,44.6
9.75,40.34,46.17,44.6
10,40.75,46.17,44.47
10.25,41.16,46.2,44.5
10.5,41.53,46.2,44.57
10.75,41.91,46.23,44.53
11,42.32,46.29,44.6
11.25,42.6,46.36,44.66
11.5,42.91,46.45,44.72
11.75,43.19,46.51,44.85
12,43.47,46.61,44.97
12.25,43.72,46.7,45.03
12.5,44,46.86,45.16
12.75,44.22,46.92,45.32
13,44.44,47.08,45.44
13.25,44.66,47.17,45.53
13.5,44.84,47.3,45.72
13.75,45.04,47.45,45.91
14,45.22,47.58,46.03
14.25,45.38,47.74,46.16
14.5,45.5,47.89,46.32
14.75,45.66,48.02,46.47
15,45.78,48.14,46.6
15.25,45.91,48.27,46.75
15.5,46,48.45,46.88
15.75,46.09,48.55,47
16,46.16,48.7,47.16
16.25,46.25,48.86,47.29
16.5,46.28,48.95,47.38
16.75,46.41,49.11,47.47
17,46.44,49.17,47.53
17.25,46.47,49.26,47.63
17.5,46.53,49.33,47.69
17.75,46.53,49.45,47.75
18,46.63,49.48,47.82
18.25,46.63,49.51,47.82
18.5,46.6,49.61,47.88
18.75,46.69,49.64,47.91
19,46.69,49.67,47.94
19.25,46.69,49.67,47.91
19.5,46.66,49.67,47.88
19.75,46.66,49.64,47.85
20,46.69,49.67,47.81
20.25,46.69,49.67,47.75
20.5,46.63,49.64,47.66
20.75,46.63,49.58,47.62
21,46.6,49.55,47.53
21.25,46.53,49.52,47.53
21.5,46.56,49.45,47.47
21.75,46.53,49.42,47.38
22,46.5,49.36,47.35
22.25,46.47,49.3,47.25
22.5,46.47,49.2,47.16
22.75,46.41,49.17,47.06
23,46.38,49.11,46.97
23.25,46.34,49.05,46.85
23.5,46.31,48.99,46.78
23.75,46.28,48.89,46.66
24,46.19,48.83,46.56
24.25,46.22,48.79,46.44
24.5,46.16,48.73,46.38
24.75,46.13,48.61,46.25
25,46.1,48.55,46.19
25.25,46,48.45,46.06
25.5,46,48.36,45.94
25.75,45.94,48.29,45.85
26,45.91,48.26,45.75
26.25,45.85,48.17,45.66
26.5,45.82,48.08,45.56
26.75,45.79,47.98,45.5
27,45.75,47.95,45.38
27.25,45.72,47.92,45.31
27.5,45.66,47.83,45.22
27.75,45.63,47.76,45.12
28,45.57,47.7,45.06
28.25,45.6,47.64,44.97
28.5,45.53,47.64,44.88
28.75,45.5,47.55,44.82
29,45.47,47.51,44.72
29.25,45.47,47.45,44.69
29.5,45.47,47.42,44.56
29.75,45.41,47.36,44.5
30,45.41,47.36,44.44
30.25,45.41,47.29,44.38
30.5,45.41,47.23,44.35
30.75,45.41,47.23,44.29
31,45.35,47.14,44.22
31.25,45.38,47.17,44.16
31.5,45.41,47.11,44.13
31.75,45.35,47.11,44.1
32,45.35,47.08,44
32.25,45.38,47.08,44
32.5,45.38,47.08,43.91
32.75,45.41,47.08,43.88
33,45.41,47.01,43.88
33.25,45.38,47.01,43.85
33.5,45.41,47.01,43.78
33.75,45.41,47.01,43.75
34,45.41,47.01,43.72
