hours,bot,mid,top
0,24.03,24.39,23.81
0.25,24.5,24.98,24.37
0.5,25.03,25.64,24.97
0.75,25.56,26.36,25.595
1,26.095,27.105,26.34
1.25,26.565,27.89,27.16
1.5,26.97,28.73,28.06
1.75,27.38,29.54,29.06
2,27.685,30.45,30.06
2.25,28.035,31.355,31.19
2.5,28.28,32.26,32.44
2.75,28.53,33.14,33.75
3,28.78,34.01,35.13
3.25,29.035,34.89,36.53
3.5,29.25,35.79,37.905
3.75,29.56,36.73,39.25
4,29.88,37.605,40.53
4.25,30.185,38.45,41.75
4.5,30.53,39.26,42.815
4.75,30.845,40.105,43.75
5,31.19,40.915,44.535
5.25,31.625,41.695,45.155
5.5,32.06,42.415,45.685
5.75,32.53,43.105,46.03
6,32.97,43.665,46.25
6.25,33.435,44.265,46.375
6.5,33.935,44.73,46.435
6.75,34.405,45.135,46.345
7,34.935,45.51,46.25
7.25,35.435,45.76,46.095
7.5,35.905,45.98,45.905
7.75,36.44,46.105,45.69
8,36.97,46.165,45.5
8.25,37.5,46.165,45.28
8.5,38,46.165,45.13
8.75,38.5,46.195,45
9,38.94,46.165,44.81
9.25,39.47,46.165,44.72
9.5,39.875,46.195,44.595
9.75,40.34,46.165,44.595
10,40.75,46.165,44.465
10.25,41.155,46.2,44.5
10.5,41.53,46.2,44.565
10.75,41.91,46.23,44.53
11,42.315,46.29,44.595
11.25,42.595,46.355,44.655
11.5,42.905,46.45,44.72
11.75,43.19,46.51,44.845
12,43.47,46.61,44.97
12.25,43.72,46.7,45.03
12.5,44,46.855,45.155
12.75,44.22,46.915,45.315
13,44.435,47.075,45.44
13.25,44.66,47.17,45.53
13.5,44.84,47.295,45.715
13.75,45.035,47.445,45.905
14,45.22,47.575,46.03
14.25,45.375,47.735,46.155
14.5,45.5,47.885,46.315
14.75,45.655,48.015,46.47
15,45.78,48.135,46.595
15.25,45.91,48.265,46.75
15.5,46,48.445,46.875
15.75,46.09,48.545,47
16,46.155,48.7,47.155
16.25,46.25,48.855,47.285
16.5,46.28,48.945,47.375
16.75,46.41,49.105,47.47
17,46.44,49.17,47.53
17.25,46.47,49.26,47.625
17.5,46.53,49.325,47.685
17.75,46.53,49.45,47.75
18,46.625,49.48,47.815
18.25,46.625,49.51,47.815
18.5,46.595,49.61,47.875
18.75,46.69,49.64,47.91
19,46.69,49.67,47.94
19.25,46.69,49.67,47.91
19.5,46.66,49.67,47.875
19.75,46.66,49.635,47.845
20,46.69,49.67,47.81
20.25,46.69,49.67,47.75
20.5,46.63,49.635,47.655
20.75,46.63,49.575,47.62
21,46.595,49.545,47.53
21.25,46.53,49.515,47.53
21.5,46.56,49.45,47.47
21.75,46.53,49.415,47.38
22,46.5,49.355,47.345
22.25,46.47,49.295,47.25
22.5,46.47,49.2,47.155
22.75,46.405,49.165,47.06
23,46.375,49.105,46.97
23.25,46.34,49.045,46.845
23.5,46.31,48.985,46.78
23.75,46.28,48.885,46.655
24,46.19,48.825,46.56
