hours,bot,mid,top,tav
0,25,26.25,25.66,25.65
0.25,25.31,26.56,25.94,25.94
0.5,25.56,26.94,26.16,26.26
0.75,25.81,27.38,26.44,26.6
1,26.06,27.75,26.85,26.95
1.25,26.31,28.19,27.1,27.28
1.5,26.69,28.62,27.54,27.65
1.75,26.81,29.12,27.94,28.01
2,27.19,29.62,28.38,28.44
2.25,27.5,30.31,28.92,28.93
2.5,27.75,31,29.45,29.42
2.75,28.19,31.75,30.1,29.98
3,28.5,32.5,30.82,30.54
3.25,28.88,33.38,31.6,31.15
3.5,29.62,35.19,33.48,32.41
3.75,29.94,36.06,34.54,33.02
4,30.25,36.94,35.7,33.59
4.25,30.62,37.75,36.88,34.15
4.5,30.94,38.5,38.2,34.67
4.75,31.25,39.19,39.54,35.18
5,31.62,39.88,40.92,35.66
5.25,31.88,40.62,42.32,36.18
5.5,32.25,41.38,43.57,36.7
5.75,32.5,42.12,44.76,37.21
6,32.88,42.88,45.82,37.74
6.25,33.25,43.75,46.73,38.32
6.5,33.56,44.62,47.38,38.9
6.75,33.88,45.44,47.89,39.48
7,34.31,46.38,48.29,40.12
7.25,34.62,47.12,48.6,40.71
7.5,35.06,47.81,48.82,41.29
7.75,35.44,48.44,48.98,41.81
8,35.94,48.88,49.13,42.32
8.25,36.38,49.31,49.26,42.81
8.5,36.88,49.69,49.38,43.29
8.75,37.38,49.94,49.51,43.71
9,37.94,50.19,49.6,44.15
9.25,38.5,50.38,49.63,44.57
9.5,39.12,50.56,49.76,44.97
9.75,39.75,50.75,49.79,45.38
10,40.44,50.88,49.88,45.77
10.25,41.12,50.94,49.95,46.17
10.5,41.75,51.06,50.04,46.52
10.75,42.38,51.12,50.1,46.87
11,42.94,51.31,50.23,47.2
11.25,43.5,51.44,50.32,47.53
11.5,44.06,51.5,50.41,47.84
11.75,44.5,51.62,50.54,48.09
12,45.06,51.69,50.66,48.38
12.25,45.5,51.88,50.85,48.68
12.5,45.88,52,50.98,48.92
12.75,46.19,52.19,51.16,49.17
13,46.62,52.31,51.29,49.43
13.25,46.94,52.56,51.48,49.68
13.5,47.19,52.75,51.63,49.93
13.75,47.5,53,51.79,50.18
14,47.69,53.25,51.98,50.43
14.25,48,53.5,52.13,50.68
14.5,48.19,53.81,52.35,50.91
14.75,48.44,54.06,52.51,51.13
15,48.56,54.31,52.73,51.35
15.25,48.81,54.62,52.92,51.62
15.5,49,54.94,53.07,51.87
15.75,49.12,55.19,53.26,52.09
16,49.31,55.56,53.51,52.34
16.25,49.44,55.81,53.66,52.54
16.5,49.69,56.12,53.91,52.81
16.75,49.81,56.44,54.07,53.02
17,50,56.75,54.26,53.29
17.25,50.19,57,54.41,53.51
17.5,50.31,57.25,54.6,53.71
17.75,50.5,57.5,54.79,53.91
18,50.62,57.81,54.98,54.15
18.25,50.75,58.06,55.13,54.37
18.5,50.88,58.31,55.29,54.56
18.75,51,58.44,55.41,54.73
19,51.12,58.75,55.57,54.95
19.25,51.31,58.88,55.66,55.12
19.5,51.44,59.06,55.76,55.29
19.75,51.62,59.31,55.85,55.49
20,51.75,59.5,56.01,55.66
20.25,51.94,59.62,56.07,55.82
20.5,52.06,59.81,56.17,55.99
20.75,52.19,60,56.26,56.15
21,52.38,60.12,56.32,56.32
21.25,52.56,60.25,56.38,56.44
21.5,52.69,60.31,56.48,56.59
21.75,52.75,60.5,56.54,56.69
22,52.94,60.56,56.6,56.84
22.25,53.12,60.69,56.67,56.98
22.5,53.25,60.81,56.73,57.12
22.75,53.38,60.81,56.79,57.21
23,53.62,60.94,56.82,57.35
23.25,53.81,61.06,56.89,57.49
23.5,53.88,61.12,56.92,57.57
23.75,54,61.25,56.98,57.7
24,54.12,61.38,56.98,57.82
24.25,54.31,61.44,57.04,57.91
24.5,54.44,61.5,57.07,58.03
24.75,54.62,61.56,57.11,58.13
25,54.81,61.62,57.17,58.24
