hours,cn35,mc50,expA,expB
0,25.00,25.00,24.00,24.00
0.25,25.83,25.80,24.93,24.65
0.5,26.64,26.57,25.84,25.30
0.75,27.42,27.32,26.72,25.94
1,28.17,28.04,27.59,26.57
1.25,28.90,28.74,28.43,27.20
1.5,29.61,29.42,29.24,27.83
1.75,30.30,30.07,30.04,28.45
2,30.96,30.70,30.81,29.06
2.25,31.60,31.31,31.56,29.67
2.5,32.22,31.89,32.29,30.27
2.75,32.82,32.46,32.99,30.87
3,33.40,33.00,33.68,31.46
3.25,33.96,33.53,34.34,32.05
3.5,34.51,34.04,34.98,32.63
3.75,35.03,34.53,35.60,33.20
4,35.53,35.00,36.20,33.77
4.25,36.02,35.45,36.78,34.34
4.5,36.48,35.88,37.33,34.89
4.75,36.94,36.30,37.87,35.44
5,37.37,36.70,38.39,35.99
5.25,37.79,37.09,38.89,36.53
5.5,38.19,37.46,39.37,37.06
5.75,38.58,37.81,39.83,37.59
6,38.95,38.16,40.27,38.11
6.25,39.31,38.48,40.69,38.62
6.5,39.65,38.80,41.10,39.13
6.75,39.98,39.10,41.49,39.63
7,40.30,39.39,41.86,40.13
7.25,40.60,39.67,42.22,40.62
7.5,40.90,39.93,42.56,41.10
7.75,41.18,40.19,42.88,41.58
8,41.45,40.43,43.20,42.05
8.25,41.71,40.67,43.49,42.51
8.5,41.96,40.89,43.78,42.97
8.75,42.20,41.11,44.05,43.42
9,42.42,41.31,44.31,43.87
9.25,42.64,41.51,44.56,44.31
9.5,42.85,41.70,44.79,44.74
9.75,43.05,41.88,45.01,45.17
10,43.25,42.05,45.23,45.59
10.25,43.43,42.21,45.43,46.01
10.5,43.61,42.37,45.62,46.42
10.75,43.77,42.52,45.80,46.82
11,43.93,42.66,45.96,47.21
11.25,44.08,42.79,46.12,47.60
11.5,44.23,42.92,46.27,47.99
11.75,44.37,43.04,46.42,48.36
12,44.50,43.16,46.55,48.73
12.25,44.62,43.27,46.67,49.10
12.5,44.74,43.37,46.79,49.46
12.75,44.85,43.47,46.90,49.81
13,44.96,43.56,47.00,50.15
13.25,45.06,43.65,47.10,50.49
13.5,45.16,43.74,47.19,50.83
13.75,45.25,43.82,47.28,51.15
14,45.34,43.89,47.35,51.47
14.25,45.42,43.97,47.43,51.79
14.5,45.50,44.04,47.50,52.10
14.75,45.57,44.10,47.56,52.40
15,45.65,44.16,47.62,52.70
15.25,45.71,44.22,47.68,52.99
15.5,45.78,44.28,47.73,53.27
15.75,45.84,44.33,47.77,53.55
16,45.89,44.37,47.82,53.82
16.25,45.94,44.42,47.85,54.09
16.5,45.99,44.46,47.89,54.35
16.75,46.04,44.50,47.92,54.60
17,46.08,44.54,47.95,54.85
17.25,46.12,44.57,47.97,55.10
17.5,46.16,44.60,48.00,55.33
17.75,46.19,44.63,48.01,55.57
18,46.23,44.66,48.03,55.79
18.25,46.25,44.68,48.04,56.02
18.5,46.28,44.70,48.06,56.23
18.75,46.31,44.72,48.06,56.44
19,46.33,44.74,48.07,56.65
19.25,46.35,44.76,48.08,56.85
19.5,46.37,44.77,48.08,57.05
19.75,46.38,44.78,48.08,57.24
20,46.40,44.80,48.08,57.43
20.25,46.41,44.81,48.08,57.61
20.5,46.42,44.82,48.07,57.78
20.75,46.43,44.82,48.07,57.96
21,46.44,44.83,48.06,58.13
21.25,46.44,44.84,48.06,58.29
21.5,46.45,44.84,48.05,58.45
21.75,46.46,44.84,48.04,58.60
22,46.46,44.85,48.03,58.76
22.25,46.46,44.85,48.02,58.90
22.5,46.46,44.85,48.00,59.05
22.75,46.46,44.85,47.99,59.19
23,46.46,44.84,47.97,59.32
23.25,46.46,44.84,47.96,59.46
23.5,46.46,44.84,47.94,59.59
23.75,46.45,44.83,47.92,59.71
24,46.45,44.83,47.90,59.83
24.25,46.44,44.82,47.88,59.95
24.5,46.43,44.81,47.86,60.07
24.75,46.42,44.81,47.84,60.18
25,46.42,44.80,47.82,60.29
25.25,46.41,44.79,47.80,60.39
25.5,46.40,44.78,47.77,60.49
25.75,46.38,44.77,47.75,60.59
26,46.37,44.76,47.73,60.69
26.25,46.36,44.75,47.70,60.78
26.5,46.35,44.73,47.68,60.87
26.75,46.33,44.72,47.65,60.96
27,46.32,44.71,47.63,61.04
27.25,46.30,44.69,47.60,61.12
27.5,46.29,44.68,47.57,61.20
27.75,46.27,44.66,47.55,61.27
28,46.25,44.65,47.52,61.35
28.25,46.24,44.63,47.50,61.42
28.5,46.22,44.62,47.47,61.48
28.75,46.20,44.60,47.44,61.55
29,46.19,44.59,47.41,61.61
29.25,46.17,44.57,47.39,61.67
29.5,46.15,44.56,47.36,61.73
29.75,46.13,44.54,47.33,61.78
30,46.11,44.52,47.30,61.84
30.25,46.09,44.51,47.27,61.89
30.5,46.07,44.49,47.25,61.94
30.75,46.06,44.47,47.22,61.98
31,46.04,44.46,47.19,62.03
31.25,46.02,44.44,47.16,62.07
31.5,46.00,44.42,47.13,62.11
31.75,45.98,44.40,47.10,62.15
32,45.95,44.38,47.07,62.19
32.25,45.93,44.37,47.04,62.22
32.5,45.91,44.35,47.01,62.25
32.75,45.89,44.33,46.98,62.29
33,45.87,44.31,46.94,62.32
33.25,45.85,44.29,46.91,62.34
33.5,45.83,44.27,46.88,62.37
33.75,45.80,44.25,46.85,62.40
34,45.78,44.23,46.82,62.42
34.25,45.76,44.21,46.79,62.44
34.5,45.74,44.19,46.76,62.47
34.75,45.71,44.17,46.73,62.49
35,45.69,44.15,46.69,62.50
35.25,45.67,44.13,46.66,62.52
35.5,45.64,44.11,46.63,62.54
35.75,45.62,44.09,46.60,62.56
36,45.60,44.07,46.57,62.57
36.25,45.57,44.05,46.54,62.58
36.5,45.55,44.03,46.51,62.60
36.75,45.52,44.00,46.48,62.61
37,45.50,43.98,46.44,62.62
37.25,45.48,43.96,46.41,62.63
37.5,45.45,43.94,46.38,62.64
37.75,45.43,43.92,46.35,62.64
38,45.40,43.90,46.32,62.65
38.25,45.38,43.88,46.29,62.66
38.5,45.35,43.86,46.26,62.66
38.75,45.33,43.83,46.23,62.66
39,45.30,43.81,46.20,62.67
39.25,45.28,43.79,46.16,62.67
39.5,45.26,43.77,46.13,62.67
39.75,45.23,43.75,46.10,62.67
40,45.21,43.73,46.07,62.67
40.25,45.18,43.71,46.04,62.67
40.5,45.16,43.69,46.01,62.67
40.75,45.14,43.67,45.98,62.66
41,45.11,43.65,45.95,62.66
41.25,45.09,43.62,45.91,62.66
41.5,45.06,43.60,45.88,62.65
41.75,45.04,43.58,45.85,62.65
42,45.01,43.56,45.82,62.64
42.25,44.99,43.54,45.79,62.63
42.5,44.97,43.52,45.75,62.63
42.75,44.94,43.50,45.72,62.62
43,44.92,43.48,45.69,62.61
43.25,44.89,43.45,45.66,62.60
43.5,44.87,43.43,45.63,62.59
43.75,44.84,43.41,45.60,62.58
44,44.82,43.39,45.56,62.57
44.25,44.79,43.37,45.53,62.56
44.5,44.77,43.35,45.50,62.55
44.75,44.75,43.33,45.47,62.54
45,44.72,43.31,45.44,62.52
45.25,44.70,43.28,45.40,62.51
45.5,44.67,43.26,45.37,62.50
45.75,44.65,43.24,45.34,62.48
46,44.62,43.22,45.31,62.47
46.25,44.60,43.20,45.28,62.46
46.5,44.57,43.18,45.25,62.44
46.75,44.55,43.15,45.21,62.43
47,44.52,43.13,45.18,62.41
47.25,44.50,43.11,45.15,62.40
47.5,44.47,43.09,45.12,62.38
47.75,44.45,43.07,45.09,62.37
48,44.42,43.05,45.06,62.35
48.25,44.40,43.02,45.03,62.33
48.5,44.37,43.00,45.00,62.32
48.75,44.35,42.98,44.97,62.30
49,44.32,42.96,44.93,62.28
